studyName,"Datetime GMT","Latitude dec. deg. (º)","Longitude dec. deg. (º)","Depth (m)","Phosphate (µmol/L)","Silicate (µmol/L)","Nitrite and Nitrate (µmol/L)"
PAL0910,"2009-10-27 15:00:00",-64.7795,-64.0725,0,2.25,85.2,32.02
PAL0910,"2009-10-27 15:00:00",-64.7795,-64.0725,10,2.12,85.2,32.99
PAL0910,"2009-10-27 15:00:00",-64.7795,-64.0725,25,2.1,84.6,33.66
PAL0910,"2009-10-27 15:00:00",-64.7795,-64.0725,50,2.2,79.5,33.71
PAL0910,"2009-10-29 13:00:00",-64.7795,-64.0725,0,2.19,82.2,33.36
PAL0910,"2009-10-29 13:00:00",-64.7795,-64.0725,10,2.12,82.9,33.53
PAL0910,"2009-10-29 13:00:00",-64.7795,-64.0725,25,2.15,84.1,33.45
PAL0910,"2009-10-29 13:00:00",-64.7795,-64.0725,50,2.35,85.4,33.14
PAL0910,"2009-10-29 13:00:00",-64.8138,-64.0417,0,2.08,78.6,34.17
PAL0910,"2009-10-29 13:00:00",-64.8138,-64.0417,10,1.86,81.3,34.23
PAL0910,"2009-10-29 13:00:00",-64.8138,-64.0417,25,2.1,79.7,34.49
PAL0910,"2009-10-29 13:00:00",-64.8138,-64.0417,50,2.22,85,35.29
PAL0910,"2009-11-02 13:00:00",-64.8138,-64.0417,0,2.04,79.2,32.78
PAL0910,"2009-11-02 13:00:00",-64.8138,-64.0417,10,2.04,79.9,32.3
PAL0910,"2009-11-02 13:00:00",-64.8138,-64.0417,25,2.07,82.8,32.61
PAL0910,"2009-11-03 14:00:00",-64.7795,-64.0725,0,2.05,76.3,32.25
PAL0910,"2009-11-03 14:00:00",-64.7795,-64.0725,10,2.07,82.5,33.01
PAL0910,"2009-11-03 14:00:00",-64.7795,-64.0725,25,2.08,81.1,33.58
PAL0910,"2009-11-03 14:00:00",-64.7795,-64.0725,50,2.14,82.1,33.88
PAL0910,"2009-11-05 14:00:00",-64.7795,-64.0725,0,2.04,83.7,31.38
PAL0910,"2009-11-05 14:00:00",-64.7795,-64.0725,10,-999,-999,-999
PAL0910,"2009-11-05 14:00:00",-64.7795,-64.0725,25,2.05,83.3,31.96
PAL0910,"2009-11-05 14:00:00",-64.7795,-64.0725,50,2.07,80,31.06
