Station ID,Station Name,First Year,Last Year,Year Range,% Complete,MSL Trends (mm/yr),+/- 95% CI (mm/yr),MSL Trend (ft/century),+/- 95% CI (ft/century),Latitude,Longitude
010-001,"Reykjavik, Iceland",1956,2018,63,0.9814,2.35,0.4,0.77,0.13,64.15,-21.9333
015-011,"Torshavn, Denmark",1957,2006,50,0.8378,1.8,0.4,0.59,0.13,62.0167,-6.7667
025-001,"Barentsburg, Norway",1948,2018,71,0.9397,-2.65,0.45,-0.87,0.15,78.0667,14.25
025-021,"Ny-Alesund, Norway",1976,2018,43,0.8895,-4.69,0.68,-1.54,0.22,78.9285,11.938
030-003,"Russkaya Gavan II, Russia",1953,1993,41,0.9753,-0.54,1.05,-0.18,0.34,76.2,62.5833
030-018,"Murmansk, Russia",1952,2018,67,0.9788,2.59,0.73,0.85,0.24,68.9667,33.05
030-345,"Dikson, Russia",1950,2018,69,0.7891,1.69,0.96,0.55,0.32,73.5,80.4
030-447,"Tiksi, Russia",1949,2010,62,1.0013,1.53,0.7,0.5,0.23,71.5833,128.9167
030-725,"Providenia, Russia",1951,1983,33,0.9897,3.42,1.3,1.12,0.43,64.4167,-173.2333
040-001,"Vardo, Norway",1947,2018,72,0.7018,-0.17,0.43,-0.06,0.14,70.3333,31.1
040-015,"Honningsvag, Norway",1970,2018,49,0.9622,1.35,0.72,0.44,0.24,70.9833,25.9833
040-041,"Andenes, Norway",1938,2018,81,0.6447,-0.84,0.41,-0.27,0.14,69.3167,16.15
040-081,"Narvik, Norway",1928,2018,91,0.8936,-2.1,0.41,-0.69,0.14,68.4333,17.4167
040-136,"Rorvik, Norway",1969,2018,50,0.9932,-0.9,0.68,-0.29,0.22,64.8667,11.25
040-151,"Heimsjo, Norway",1928,2018,91,0.9652,-1.34,0.27,-0.44,0.09,63.4333,9.1167
040-211,"Maloy, Norway",1943,2018,76,0.9448,0.72,0.33,0.24,0.11,61.9333,5.1167
040-221,"Bergen, Norway",1915,2018,104,0.9262,0.0,0.2,0.0,0.06,60.4,5.3
040-261,"Stavanger, Norway",1919,2018,100,0.9108,0.36,0.19,0.12,0.06,58.9667,5.7333
040-301,"Tregde, Norway",1927,2018,92,0.9771,0.26,0.17,0.09,0.06,58.0,7.5667
040-321,"Oslo, Norway",1885,2018,134,0.7895,-3.12,0.27,-1.02,0.09,59.9,10.75
050-011,"Smogen, Sweden",1911,2018,108,1.0008,-1.76,0.23,-0.58,0.07,58.3667,11.2167
050-032,"Goteborg - Torshamnen, Sweden",1887,2018,50,0.9918,-1.09,0.34,-0.36,0.11,57.6833,11.8
050-051,"Klagshamn, Sweden",1929,2018,90,1.0,0.3,0.37,0.1,0.12,55.5167,12.9
050-081,"Kungholmsfort, Sweden",1887,2018,132,1.0,0.02,0.23,0.01,0.07,56.1,15.5833
050-091,"Olands Norra Udde, Sweden",1887,2018,132,1.0006,-1.09,0.27,-0.36,0.09,57.3661,17.0972
050-096,"Visby, Sweden",1916,2018,103,0.9968,-1.13,0.39,-0.37,0.13,57.6392,18.2844
050-123,"Landsort Norra, Sweden",1887,2018,132,1.0006,-2.81,0.28,-0.92,0.09,58.7689,17.8589
050-141,"Stockholm, Sweden",1889,2018,130,1.0006,-3.77,0.29,-1.24,0.1,59.3167,18.0833
050-191,"Ratan, Sweden",1892,2018,127,0.9987,-7.72,0.35,-2.53,0.12,64.0,20.9167
050-201,"Furuogrund, Sweden",1916,2018,103,0.9984,-7.95,0.51,-2.61,0.17,64.9167,21.2333
060-001,"Kemi, Finland",1920,2017,98,0.9668,-6.76,0.56,-2.22,0.18,65.6667,24.5167
060-011,"Oulu/Uleaborg, Finland",1889,2017,129,0.9567,-6.29,0.37,-2.06,0.12,65.0333,25.4167
