Cruise	Station	Type	mon/day/yr	hh:mm	Lon[°E]	Lat[°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[PSU]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	1598.50	0	0.2080	0	34.6732	0	27.836	0	1576.696	0	213.53	0	61.6	0	35.38	8	0.0000	0	0.0000	0	0.000186	1	-1E+10	1	0.74	1	7.8956	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	1498.56	0	0.2481	0	34.6751	0	27.835	0	1478.468	0	209.99	0	60.6	0	35.33	8	0.0036	0	0.0036	0	0.000175	1	-1E+10	1	0.71	1	7.8934	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	1399.09	0	0.2927	0	34.6775	0	27.834	0	1380.657	0	207.15	0	59.8	0	35.40	8	0.0000	0	0.0000	0	0.000186	1	-1E+10	1	0.74	1	7.8945	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	1299.23	0	0.3378	0	34.6790	0	27.832	0	1282.416	0	203.99	0	59.0	0	35.47	8	0.0036	0	0.0036	0	0.000198	1	-1E+10	1	0.77	1	7.8932	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	1199.40	0	0.3821	0	34.6809	0	27.831	0	1184.159	0	202.50	0	58.6	0	35.51	8	0.0036	0	0.0036	0	0.000198	1	-1E+10	1	0.77	1	7.8949	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	1099.57	0	0.4263	0	34.6827	0	27.829	0	1085.855	0	199.84	0	57.9	0	35.53	8	0.0036	0	0.0036	0	0.000198	1	-1E+10	1	0.77	1	7.8946	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	1000.02	0	0.4679	0	34.6844	0	27.828	0	987.781	0	198.38	0	57.6	0	35.57	8	0.0036	0	0.0036	0	0.000209	1	-1E+10	1	0.80	1	7.8955	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	950.80	0	0.4909	0	34.6853	0	27.827	0	939.274	0	198.54	0	57.7	0	35.39	8	0.0000	0	0.0000	0	0.000198	1	-1E+10	1	0.77	1	7.8938	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	901.23	0	0.5178	0	34.6861	0	27.826	0	890.410	0	198.39	0	57.7	0	35.36	8	0.0000	0	0.0000	0	0.000209	1	-1E+10	1	0.80	1	7.8949	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	851.35	0	0.5428	0	34.6864	0	27.825	0	841.229	0	197.93	0	57.6	0	35.46	8	0.0036	0	0.0036	0	0.000198	1	-1E+10	1	0.77	1	7.8963	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5904471	1	C	12/21/2014	12:46	-1e10	-1e10	1	801.59	0	0.5759	0	34.6882	0	27.824	0	792.155	0	198.17	0	57.7	0	35.17	8	0.0036	0	0.0036	0	0.000209	1	-1E+10	1	0.80	1	7.8993	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
