Datetimes,Lon[°E],Lat[°N],Temperature[°C],Salinity[PSU],Oxygen[µmol/kg],Nitrate[µmol/kg],Chl_a[mg/m^3]
2014-12-21,,,-1.7388,33.8588,288.64,32.51,0.3924
2014-12-31,,,-1.6041,33.5284,310.5,30.47,0.9432
2015-01-11,-0.031999999999982265,-66.945,-1.0343,33.3758,340.71,28.61,1.6596
2015-01-21,0.076,-66.891,0.1645,33.3372,356.14,21.33,9.3888
2015-01-31,0.294,-66.87100000000001,0.6462,33.4277,353.75,22.16,13.95
2015-02-11,0.35200000000000004,-66.782,0.8044,33.4096,341.62,19.69,4.6728
2015-02-21,0.5760000000000001,-66.774,0.4303,33.5746,331.09,22.71,4.2192
2015-03-03,0.705,-66.793,-0.0093,33.6142,330.17,24.1,1.8324
2015-03-14,0.86,-66.827,-0.4026,33.7159,338.11,26.35,1.6992
2015-03-24,0.804,-66.803,-0.5553,33.7382,338.3,26.35,0.7704
2015-04-03,0.736,-66.74600000000001,-1.0313,33.9114,338.97,27.44,0.792
2015-04-14,0.867,-66.703,-1.5727,33.9534,344.01,27.95,0.5076
2015-04-24,0.9259999999999999,-66.667,-1.834,34.0583,336.49,28.51,0.3744
2015-05-04,0.9840000000000001,-66.632,-1.77,34.2314,321.94,29.78,0.3132
2015-05-14,1.043,-66.596,-1.7879,34.2924,312.21,29.82,0.2124
2015-05-25,1.101,-66.56,-1.8166,34.2934,304.83,29.96,0.1656
2015-06-04,1.16,-66.525,-1.8115,34.3377,303.2,30.22,0.1116
2015-06-14,1.218,-66.48899999999999,-1.7846,34.3586,298.59,30.08,0.1188
2015-06-24,1.2770000000000001,-66.453,-1.8176,34.395,299.53,30.11,0.0648
2015-07-05,1.335,-66.418,-1.7874,34.3998,293.63,30.33,0.0576
2015-07-15,1.3940000000000001,-66.382,-1.8074,34.4265,296.57,30.29,0.036
2015-07-25,1.452,-66.347,-1.7604,34.4016,285.89,30.89,0.0504
2015-08-04,1.51,-66.311,-1.828,34.408,284.05,30.93,0.036
2015-08-15,1.569,-66.275,-1.8223,34.4457,293.01,30.67,0.0324
2015-08-25,1.6269999999999998,-66.24,-1.7899,34.4483,285.54,30.92,0.0504
2015-09-04,1.686,-66.204,-1.7926,34.4505,286.88,30.92,0.0504
2015-09-14,1.744,-66.168,-1.7951,34.4511,284.8,31.1,0.054
2015-09-25,1.8030000000000002,-66.133,-1.789,34.4557,283.15,31.23,0.0792
2015-10-05,1.861,-66.097,-1.7621,34.4388,282.36,31.29,0.1692
2015-10-15,1.92,-66.062,-1.7014,34.435,276.78,31.49,0.1188
2015-10-25,1.9780000000000002,-66.02600000000001,-1.8106,34.4451,287.28,31.43,0.18
2015-11-05,2.037,-65.99,-1.8418,34.4429,287.54,31.45,0.1872
2015-11-15,2.095,-65.955,-1.8404,34.4263,290.75,31.29,0.2268
2015-11-25,2.154,-65.919,-1.8491,34.3992,291.08,31.23,0.2664
2015-12-05,2.2119999999999997,-65.884,-1.8046,34.3424,298.34,30.77,0.4284
2015-12-16,2.271,-65.848,-1.7466,34.3238,304.09,30.48,0.6444
2015-12-26,2.329,-65.812,-1.4191,33.957,333.11,28.13,2.6388
2016-01-05,2.388,-65.777,-0.6178,34.1415,356.57,25.87,5.076
2016-01-15,2.4459999999999997,-65.741,-0.1149,34.2242,347.22,24.52,9.8388
2016-01-27,2.548,-65.778,0.484,34.2294,355.54,23.23,8.5968
2016-02-07,2.528,-65.759,0.7402,34.2136,349.94,23.62,7.7832
2016-02-17,2.5860000000000003,-65.722,0.7617,34.1891,347.95,22.35,5.4432
2016-02-27,2.735,-65.691,0.7308,34.1792,337.49,23.64,6.7968
2016-03-09,2.935,-65.596,0.4921,34.1257,331.12,24.0,2.9952
2016-03-19,3.0860000000000003,-65.553,0.384,34.0917,329.72,23.92,1.8252
2016-03-29,3.156,-65.521,-0.3685,34.1509,329.76,25.72,1.1916
2016-04-09,3.0980000000000003,-65.467,-0.8388,34.2041,331.67,27.07,0.6804
2016-04-19,3.0189999999999997,-65.34899999999999,-0.9547,34.2274,337.05,26.97,0.4716
2016-04-29,3.033,-65.127,-1.1339,34.2965,334.78,27.75,0.4716
2016-05-10,3.008,-64.967,-1.3067,34.3033,334.86,28.04,0.4104
2016-05-20,2.865,-64.919,-1.5684,34.3127,339.83,28.41,1.422
2016-05-30,2.563,-64.859,-1.5615,34.3655,329.46,29.51,0.342
2016-06-10,2.557,-64.876,-1.8325,34.3977,327.92,29.74,0.2124
2016-06-20,2.55,-64.892,-1.8249,34.4209,318.8,30.18,0.3276
2016-06-30,2.544,-64.90899999999999,-1.8143,34.4474,313.23,30.2,0.1188
2016-07-10,2.537,-64.926,-1.8292,34.4656,309.8,30.36,0.1152
2016-07-21,2.531,-64.942,-1.834,34.4834,305.98,30.71,0.0576
2016-07-31,2.524,-64.959,-1.7982,34.4863,298.32,31.08,0.1152
2016-08-10,2.5180000000000002,-64.976,-1.8011,34.4906,296.85,31.38,0.0288
2016-08-20,2.511,-64.992,-1.7714,34.5019,296.66,31.74,0.0828
2016-08-31,2.505,-65.009,-1.7625,34.5086,292.22,31.76,0.4248
2016-09-10,2.499,-65.02600000000001,-1.768,34.5038,289.83,31.88,0.1404
2016-09-20,2.492,-65.043,-1.8213,34.5055,289.08,31.92,0.1044
2016-10-01,2.4859999999999998,-65.06,-1.8327,34.4963,287.63,31.94,0.1008
2016-10-11,2.479,-65.07600000000001,-1.8276,34.4989,285.54,32.04,0.108
2016-10-21,2.4730000000000003,-65.093,-1.8382,34.4897,285.75,31.92,0.1296
2016-10-31,2.4659999999999997,-65.11,-1.8501,34.4902,288.08,31.97,0.1764
2016-11-10,2.46,-65.126,-1.8223,34.4903,291.39,31.59,0.1548
2016-11-21,2.4530000000000003,-65.143,-1.7933,34.4448,294.46,31.2,0.3132
2016-12-01,2.447,-65.16,-1.4276,34.2562,313.15,30.27,0.342
2016-12-11,2.44,-65.176,-0.3938,34.2156,334.57,29.27,1.2384
2016-12-21,2.434,-65.193,0.8785,34.2544,335.81,28.25,1.7892
2017-01-01,2.436,-65.25399999999999,0.8746,34.2857,333.55,27.59,1.8108
2017-01-11,2.721,-65.32,1.2047,34.2808,333.17,27.35,2.4228
2017-01-22,3.05,-65.17,2.1139,34.2401,332.99,26.05,2.4984
2017-02-01,3.3760000000000003,-65.166,1.7587,34.273,329.26,23.04,4.608
2017-02-11,3.415,-65.237,1.9956,34.279,319.1,23.29,2.0304
2017-02-22,3.595,-65.166,1.5156,34.3018,318.23,24.55,1.4184
2017-03-04,3.74,-65.03,1.6802,34.2913,319.65,24.53,1.1232
2017-03-14,3.609,-64.92399999999999,1.5854,34.2597,319.6,24.23,0.7488
2017-03-25,3.388,-64.969,0.9399,34.279,320.93,25.12,0.63
2017-04-04,3.656,-65.00399999999999,0.5482,34.2888,322.48,25.51,0.486
2017-04-14,3.752,-64.936,0.1038,34.3036,324.91,25.89,0.5868
2017-04-25,3.6919999999999997,-64.925,-0.4344,34.347,324.71,27.22,0.4752
2017-05-05,3.903,-64.975,-0.7044,34.3619,328.19,27.95,0.8784
2017-05-15,4.052,-64.938,-1.0689,34.3764,332.14,28.52,0.684
2017-05-26,4.126,-64.941,-1.4792,34.3689,339.54,28.77,1.296
2017-06-05,4.256,-64.892,-1.6264,34.3954,337.37,29.21,0.5688
2017-06-16,4.342,-64.883,-1.8607,34.3885,340.63,29.58,0.3168
2017-06-26,4.425,-64.875,-1.8096,34.4664,330.32,29.89,0.288
2017-07-06,4.508,-64.867,-1.8169,34.4778,324.12,30.26,0.1296
2017-07-16,4.591,-64.858,-1.8862,34.455,322.71,30.66,0.126
2017-07-27,4.6739999999999995,-64.85,-1.8518,34.4824,322.57,30.49,0.0432
2017-08-06,4.757,-64.842,-1.8429,34.4956,318.62,30.73,0.0396
2017-08-16,4.84,-64.834,-1.8138,34.5051,315.66,30.82,0.0576
2017-08-26,4.9239999999999995,-64.825,-1.8007,34.5107,309.92,30.89,0.0396
2017-09-06,5.007,-64.817,-1.8061,34.4998,305.08,31.25,0.0576
2017-09-16,5.09,-64.809,-1.7332,34.5094,307.13,31.47,0.1152
2017-09-26,5.172999999999999,-64.8,-1.0298,34.4396,288.82,33.02,0.2304
2017-10-06,5.256,-64.792,-1.1542,34.5135,312.47,32.51,0.5184
2017-10-17,5.861000000000001,-64.793,-1.6637,34.431,327.78,,2.2032
2017-10-27,6.171,-64.816,-1.799,34.3119,330.83,31.76,3.4164
2017-11-07,6.473,-64.83800000000001,-1.7333,34.2962,338.53,30.76,2.6856
2017-11-17,6.774,-64.86,-1.5708,34.2498,369.38,28.14,5.4288
2017-11-27,7.23,-64.7,-1.0217,34.2585,369.56,27.09,4.4208
2017-12-08,6.973,-64.60600000000001,-0.6891,34.2447,360.96,26.61,6.4476
2017-12-18,7.0329999999999995,-64.473,-0.7327,34.1951,351.46,27.44,2.7072
2017-12-28,6.7410000000000005,-64.559,-0.0979,34.1905,351.47,26.64,5.742
2018-01-08,6.442,-64.37,0.472,34.1464,346.9,25.67,2.9808
2018-01-18,6.093,-64.372,0.9936,34.0681,348.9,23.93,5.994
2018-01-28,5.752000000000001,-64.491,1.5013,34.0904,340.46,23.59,4.4496
2018-02-08,4.954,-64.267,1.5318,34.1248,325.92,24.35,1.0692
2018-02-18,4.532,-64.222,1.3843,34.0964,324.06,24.3,0.5472
2018-02-28,4.481,-64.415,1.3946,34.1042,325.1,24.37,8.7624
2018-03-11,4.98,-64.139,1.294,34.1241,326.77,24.72,6.2784
2018-03-21,5.28,-64.325,0.99,34.1476,328.84,25.17,4.392
2018-03-31,5.582000000000001,-64.512,0.6702,34.1337,331.17,25.38,3.4704
2018-04-11,5.906000000000001,-64.893,0.2625,34.1633,329.83,25.9,1.8252
2018-04-21,5.796,-65.458,-0.1207,34.1604,332.02,25.91,1.1196
2018-05-01,4.338,-65.545,-0.3612,34.1872,333.22,26.3,0.6552
2018-05-12,4.3469999999999995,-65.622,-0.4749,34.2536,322.3,27.82,0.378
2018-05-22,4.052,-65.695,-0.8314,34.3063,326.3,28.36,0.9396
2018-06-01,4.553999999999999,-65.936,-1.1684,34.2961,335.5,28.67,0.1836
2018-06-12,4.912,-65.995,-1.4106,34.2812,340.82,28.72,0.2556
2018-06-22,5.546,-66.128,-1.6499,34.3028,348.85,28.9,0.2016
2018-07-03,5.547000000000001,-66.191,-1.8623,34.324,348.66,29.14,0.072
2018-07-13,5.547999999999999,-66.253,-1.8235,34.3432,338.97,29.66,0.0612
2018-07-23,5.5489999999999995,-66.315,-1.839,34.3617,337.29,29.77,0.0936
2018-08-02,5.55,-66.377,-1.827,34.3691,332.58,29.93,0.036
2018-08-12,5.551,-66.44,-1.8275,34.3842,332.51,29.92,0.0648
2018-08-23,5.5520000000000005,-66.502,-1.8576,34.3852,334.77,29.74,0.0252
2018-09-02,5.553,-66.564,-1.8512,34.402,330.18,30.01,0.0396
2018-09-12,5.553999999999999,-66.626,-1.8267,34.3959,315.79,30.65,0.0792
2018-09-22,5.555,-66.688,-1.8408,34.4099,320.06,30.46,0.0792
2018-10-03,5.556,-66.75,-1.8324,34.4147,316.12,30.74,0.0936
2018-10-13,5.557,-66.813,-1.8092,34.4234,310.66,30.9,0.144
2018-10-23,5.558,-66.875,-1.7001,34.4149,301.1,31.27,0.162
2018-11-02,5.559,-66.937,-1.807,34.3884,301.66,31.29,0.1944
2018-11-13,5.56,-66.999,-1.8069,34.3552,302.55,31.28,0.2304
2018-11-23,5.562,-67.061,-1.7016,34.2951,313.08,30.95,0.3204
2018-12-04,5.687,-67.074,-1.6408,34.1554,331.77,30.23,1.0476
2018-12-14,6.007999999999999,-67.04899999999999,-1.0034,34.0394,355.51,27.52,2.9772
2018-12-24,6.29,-67.203,-0.1848,34.0394,362.11,24.85,4.0176
2019-01-04,6.102,-67.288,0.7623,33.9304,365.45,21.23,7.7472
2019-01-14,6.147,-67.234,0.5705,34.0312,352.23,22.79,5.6952
2019-01-24,6.611000000000001,-67.329,1.1625,34.0477,343.84,21.76,7.2216
2019-02-04,6.294,-67.584,1.5751,34.0248,339.04,20.25,5.8752
2019-02-14,5.696000000000001,-67.546,0.9332,34.0939,327.88,22.16,4.6584
2019-02-24,5.415,-67.468,0.7149,34.1397,331.78,23.21,11.1456
2019-03-07,5.035,-67.494,0.5757,34.1383,333.03,23.03,14.6448
2019-03-17,5.092,-67.67,-0.0132,34.1896,328.25,24.32,0.6624
2019-03-27,4.833,-67.876,-0.6299,34.182,335.27,24.68,0.4464
2019-04-07,3.529,-68.10600000000001,-1.2064,34.1899,335.91,25.93,0.684
2019-04-17,2.781,-68.245,-1.6967,34.1467,335.89,26.24,0.2916
2019-04-27,2.4530000000000003,-68.309,-1.7872,34.2272,329.8,27.26,0.2556
2019-05-08,2.13,-68.372,-1.8704,34.3062,331.32,27.57,0.1548
2019-05-18,1.806,-68.435,-1.8506,34.3024,327.64,27.19,0.108
2019-05-28,1.482,-68.498,-1.4719,34.3172,295.55,29.33,0.1512
2019-06-07,1.159,-68.561,-1.7723,34.3647,310.38,28.8,0.0756
