CTD,20171201CCHSIOSEE
NUMBER_HEADERS = 14
EXPOCODE = 33RR20080204
SECT_ID = I06S
STNNBR = 97
CASTNO = 1
DATE = 20080305
TIME = 2343
LATITUDE = -68.2939
LONGITUDE = 31.1577
DEPTH =  1965
INSTRUMENT_ID = 725
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,FLUORM,FLUORM_FLAG_W,PAR,PAR_FLAG_W,SPAR,SPAR_FLAG_W,CTDNOBS,CTDETIME,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,,,SECONDS,/METER,
       0.0,6,   -0.7570,6,   34.0549,6,     337.6,6,     0.333,1,  -999.000,9,     0.005,1,         1,     433.7,    0.0824,2
       2.0,6,   -0.7557,6,   34.0555,6,     337.7,6,     0.327,1,  -999.000,9,     0.005,1,         1,     438.2,    0.0824,2
       4.0,6,   -0.7543,6,   34.0561,6,     337.8,6,     0.321,1,  -999.000,9,     0.005,1,         1,     442.7,    0.0812,2
       6.0,6,   -0.7530,6,   34.0567,6,     337.8,6,     0.316,1,  -999.000,9,     0.005,1,         1,     447.2,    0.0812,2
       8.0,6,   -0.7517,6,   34.0573,6,     337.9,6,     0.310,1,  -999.000,9,     0.005,1,         1,     451.7,    0.0812,2
      10.0,6,   -0.7503,6,   34.0579,6,     338.0,6,     0.304,1,  -999.000,9,     0.005,1,         1,     456.2,    0.0804,2
      12.0,2,   -0.7490,2,   34.0586,2,     338.1,7,     0.299,1,  -999.000,9,     0.005,1,       108,     460.7,    0.0804,2
      14.0,2,   -0.7476,2,   34.0592,2,     338.2,7,     0.293,1,  -999.000,9,     0.005,1,       108,     465.2,    0.0796,2
      16.0,2,   -0.7483,2,   34.0597,2,     338.3,7,     0.292,1,  -999.000,9,     0.005,1,       120,     469.9,    0.0788,2
      18.0,2,   -0.7479,2,   34.0599,2,     338.3,2,     0.295,1,  -999.000,9,     0.005,1,        84,     474.2,    0.0788,2
      20.0,2,   -0.7474,2,   34.0600,2,     338.4,2,     0.294,1,  -999.000,9,     0.005,1,        96,     477.9,    0.0788,2
      22.0,2,   -0.7434,2,   34.0599,2,     338.4,2,     0.293,1,  -999.000,9,     0.005,1,       120,     482.4,    0.0796,2
      24.0,2,   -0.7438,2,   34.0599,2,     338.5,2,     0.296,1,  -999.000,9,     0.005,1,        72,     486.4,    0.0788,2
      26.0,2,   -0.7420,2,   34.0600,2,     338.7,2,     0.293,1,  -999.000,9,     0.005,1,       120,     490.4,    0.0788,2
      28.0,2,   -0.7433,2,   34.0604,2,     338.9,2,     0.292,1,  -999.000,9,     0.005,1,        60,     494.2,    0.0796,2
