CTD,20200325CCHSIO
NUMBER_HEADERS = 14
EXPOCODE = 325020190403
SECT_ID = I06S
STNNBR = 5
CASTNO = 2
DATE = 20190416
TIME = 2223
LATITUDE = -68.2795
LONGITUDE = 31.0967
DEPTH =   2321
INSTRUMENT_ID = 0830
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDBACKSCATTER,CTDBACKSCATTER_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,/METER,
       0.0,6,   -1.3994,6,   34.0582,6,-4814.9106,6,    0.3207,6,    0.2488,6, -999.0000,9
       2.0,6,   -1.3994,6,   34.0582,6,-4814.9106,6,    0.3207,6,    0.2488,6,    0.0931,2
       4.0,6,   -1.3994,6,   34.0582,6,-4814.9106,6,    0.3207,6,    0.2488,6,    0.0931,2
       6.0,2,   -1.3994,2,   34.0582,2,-4814.9106,2,    0.3207,1,    0.2488,1,    0.0931,2
       8.0,2,   -1.3974,2,   34.0586,2,  -4738.49,2,    0.3143,1,    0.2483,1,    0.0931,2
      10.0,2,   -1.3963,2,   34.0589,2,-4698.4105,2,    0.3122,1,    0.2512,1,    0.0932,2
      12.0,2,   -1.3958,2,   34.0591,2,-4685.3579,2,    0.3137,1,    0.2535,1,    0.0934,2
      14.0,2,   -1.3938,2,   34.0594,2,-4610.2778,2,    0.3175,1,    0.2569,1,    0.0935,2
      16.0,2,   -1.3919,2,   34.0596,2, -4537.574,2,    0.3174,1,    0.2588,1,    0.0934,2
      18.0,2,   -1.3901,2,     34.06,2,-4469.5846,2,    0.3184,1,    0.2609,1,    0.0932,2
      20.0,2,   -1.3879,2,   34.0604,2,-4387.4356,2,     0.312,1,    0.2609,1,    0.0931,2
      22.0,2,   -1.3849,2,   34.0609,2,-4275.6401,2,    0.3119,1,    0.2592,1,    0.0930,2
      24.0,2,   -1.3764,2,   34.0619,2,-3949.8037,2,    0.3139,1,    0.2553,1,    0.0928,2
      26.0,2,    -1.365,2,   34.0634,2,-3514.5276,2,    0.3162,1,    0.2565,1,    0.0927,2
      28.0,2,   -1.3577,2,   34.0646,2,-3245.3885,2,    0.3133,1,    0.2578,1,    0.0927,2
      30.0,2,   -1.3527,2,   34.0657,2,-3061.4292,2,    0.3122,1,    0.2562,1,    0.0926,2
      32.0,2,   -1.3478,2,   34.0668,2,-2886.5293,2,    0.3121,1,    0.2527,1,    0.0923,2
      34.0,2,   -1.3397,2,   34.0686,2,-2595.0479,2,    0.3105,1,    0.2508,1,    0.0916,2
      36.0,2,   -1.3213,2,   34.0719,2,-1953.3485,2,    0.3079,1,     0.249,1,    0.0904,2
      38.0,2,   -1.3006,2,   34.0761,2,-1259.8508,2,    0.3024,1,    0.2457,1,    0.0886,2
      40.0,2,   -1.2783,2,   34.0812,2,  -553.356,2,    0.2997,1,    0.2467,1,    0.0863,2
      42.0,2,   -1.2614,2,   34.0851,2,  -40.0518,2,    0.2891,1,    0.2497,1,    0.0837,2
      44.0,2,   -1.2386,2,   34.0902,2,  615.9676,2,     0.281,1,    0.2323,1,    0.0810,2
      46.0,2,   -1.2248,2,   34.0932,2,  995.6444,2,    0.2694,1,    0.2214,1,    0.0790,2
      48.0,2,    -1.222,2,    34.094,2, 1070.4071,2,    0.2638,1,    0.2239,1,    0.0776,2
      50.0,2,   -1.2214,2,   34.0943,2, 1085.7777,2,    0.2603,1,    0.2253,1,    0.0768,2
      52.0,2,    -1.221,2,   34.0945,2, 1097.3976,2,    0.2621,1,    0.2229,1,    0.0763,2
      54.0,2,   -1.2207,2,   34.0946,2, 1105.4359,2,     0.262,1,    0.2199,1,    0.0760,2
      56.0,2,   -1.2203,2,   34.0947,2, 1115.9893,2,    0.2605,1,    0.2192,1,    0.0759,2
      58.0,2,   -1.2201,2,   34.0949,2, 1123.7862,2,    0.2622,1,    0.2214,1,    0.0757,2
      60.0,2,   -1.2198,2,    34.095,2, 1132.8526,2,    0.2613,1,    0.2208,1,    0.0754,2
      62.0,2,   -1.2191,2,   34.0951,2, 1151.4966,2,    0.2585,1,    0.2213,1,    0.0754,2
      64.0,2,   -1.2182,2,   34.0953,2, 1176.6153,2,    0.2573,1,    0.2212,1,    0.0756,2
      66.0,2,    -1.217,2,   34.0956,2, 1211.1882,2,    0.2543,1,    0.2205,1,    0.0759,2
      68.0,2,   -1.2143,2,   34.0959,2, 1283.0608,2,    0.2505,1,    0.2218,1,    0.0762,2
      70.0,2,   -1.2074,2,   34.0964,2, 1462.5663,2,    0.2477,1,     0.226,1,    0.0763,2
      72.0,2,   -1.1975,2,   34.0973,2, 1716.3167,2,    0.2481,1,    0.2307,1,    0.0761,2
      74.0,2,   -1.1771,2,   34.1023,2, 2211.7476,2,    0.2475,1,    0.2236,1,    0.0737,2
      76.0,2,    -1.141,2,   34.1249,2, 3024.6702,2,    0.2157,1,    0.2187,1,    0.0678,2
      78.0,2,   -1.1504,2,   34.1439,2, 2807.8341,2,    0.2004,1,    0.2148,1,    0.0614,2
      80.0,2,   -1.2094,2,   34.1761,2, 1370.5614,2,    0.1974,1,    0.2013,1,    0.0559,2
      82.0,2,   -1.2659,2,   34.2129,2, -167.3866,2,    0.1768,1,    0.1987,1,    0.0510,2
      84.0,2,   -1.2806,2,   34.2228,2, -583.8535,2,    0.1689,1,    0.1971,1,    0.0478,2
      86.0,2,   -1.2932,2,   34.2311,2, -924.2187,2,    0.1606,1,    0.1924,1,    0.0457,2
      88.0,2,    -1.307,2,   34.2408,2,-1307.4055,2,     0.155,1,    0.1942,1,    0.0433,2
      90.0,2,    -1.345,2,   34.2677,2,-2446.7303,2,    0.1491,1,    0.1915,1,    0.0404,2
      92.0,2,   -1.3767,2,   34.2886,2, -3427.701,2,    0.1403,1,    0.1828,1,    0.0378,2
      94.0,2,   -1.4209,2,   34.3079,2,-4861.7317,2,    0.1394,1,    0.1821,1,    0.0365,2
      96.0,2,   -1.4369,2,   34.3125,2,  -5340.84,2,    0.1349,1,    0.1814,1,    0.0363,2
      98.0,2,   -1.4439,2,   34.3153,2,-5534.2048,2,    0.1411,1,    0.1886,1,    0.0366,2
     100.0,2,   -1.4486,2,    34.317,2,-5682.2531,2,    0.1416,1,    0.1896,1,    0.0374,2
     102.0,2,   -1.4674,2,   34.3202,2,-6358.7407,2,    0.1471,1,    0.1866,1,    0.0388,2
     104.0,2,   -1.4772,2,   34.3231,2,-6730.2278,2,    0.1503,1,    0.1866,1,    0.0401,2
     106.0,2,   -1.4863,2,   34.3263,2,-7091.4079,2,    0.1478,1,    0.1949,1,    0.0412,2
     108.0,2,   -1.4986,2,   34.3312,2,-7586.0688,2,    0.1525,1,    0.2048,1,    0.0426,2
     110.0,2,   -1.5073,2,    34.341,2,-7933.9379,2,    0.1532,1,    0.2032,1,    0.0433,2
     112.0,2,   -1.4967,2,   34.3541,2,-7507.0206,2,    0.1421,1,    0.1948,1,    0.0421,2
     114.0,2,   -1.4762,2,   34.3641,2, -6693.777,2,    0.1353,1,    0.1966,1,    0.0399,2
     116.0,2,   -1.4549,2,   34.3721,2,-5866.8931,2,    0.1285,1,    0.1985,1,    0.0374,2
     118.0,2,   -1.4176,2,   34.3813,2,-4517.2735,2,    0.1205,1,    0.1873,1,    0.0336,2
     120.0,2,   -1.3778,2,   34.3894,2,-3187.7386,2,    0.1096,1,    0.1705,1,    0.0289,2
     122.0,2,   -1.3566,2,   34.3951,2,-2522.9759,2,    0.1002,1,    0.1635,1,    0.0249,2
     124.0,2,   -1.3361,2,   34.4005,2, -1920.539,2,    0.0953,1,    0.1613,1,    0.0223,2
     126.0,2,   -1.3003,2,   34.4057,2, -967.3134,2,    0.0941,1,    0.1587,1,    0.0210,2
     128.0,2,   -1.2407,2,   34.4111,2,  411.9018,2,    0.0929,1,     0.156,1,    0.0205,2
     130.0,2,   -1.1473,2,   34.4189,2, 2143.3169,2,    0.0902,1,    0.1554,1,    0.0194,2
     132.0,2,   -1.0326,2,   34.4283,2, 3665.7377,2,    0.0903,1,    0.1565,1,    0.0182,2
     134.0,2,   -0.9478,2,   34.4362,2, 4382.6103,2,      0.09,1,    0.1588,1,    0.0178,2
     136.0,2,   -0.8798,2,   34.4438,2, 4705.5318,2,    0.0882,1,    0.1632,1,    0.0175,2
     138.0,2,   -0.8059,2,   34.4517,2, 4853.4288,2,    0.0868,1,    0.1664,1,    0.0170,2
     140.0,2,   -0.7541,2,   34.4576,2, 4829.2228,2,    0.0867,1,    0.1629,1,    0.0166,2
     142.0,2,   -0.7141,2,    34.462,2, 4757.4651,2,    0.0862,1,    0.1607,1,    0.0161,2
     144.0,2,   -0.6693,2,   34.4661,2, 4643.9893,2,    0.0847,1,    0.1585,1,    0.0156,2
     146.0,2,   -0.6024,2,   34.4734,2,  4387.729,2,    0.0818,1,     0.156,1,    0.0153,2
     148.0,2,   -0.5724,2,   34.4785,2, 4205.7859,2,    0.0797,1,    0.1528,1,    0.0152,2
     150.0,2,   -0.5869,2,   34.4805,2, 4166.9584,2,    0.0792,1,    0.1525,1,    0.0152,2
     152.0,2,   -0.5761,2,   34.4826,2, 4083.2989,2,    0.0784,1,    0.1532,1,    0.0150,2
     154.0,2,   -0.5502,2,   34.4856,2, 3946.3767,2,    0.0801,1,    0.1557,1,    0.0145,2
     156.0,2,   -0.5174,2,   34.4892,2,  3776.782,2,     0.085,1,    0.1603,1,    0.0141,2
     158.0,2,   -0.4705,2,   34.4938,2, 3528.4642,2,    0.0843,1,    0.1614,1,    0.0139,2
     160.0,2,   -0.4101,2,    34.499,2, 3175.9799,2,    0.0788,1,    0.1579,1,    0.0137,2
     162.0,2,   -0.3617,2,   34.5034,2, 2865.3397,2,    0.0775,1,    0.1552,1,    0.0136,2
     164.0,2,   -0.3385,2,    34.506,2, 2692.4371,2,    0.0786,1,    0.1538,1,    0.0137,2
     166.0,2,   -0.3092,2,   34.5087,2,  2472.716,2,    0.0776,1,    0.1523,1,    0.0139,2
     168.0,2,   -0.3022,2,   34.5101,2, 2400.2878,2,    0.0761,1,    0.1513,1,    0.0139,2
     170.0,2,   -0.3121,2,   34.5111,2, 2439.2432,2,    0.0751,1,    0.1509,1,    0.0138,2
     172.0,2,   -0.3054,2,   34.5133,2,  2376.229,2,    0.0745,1,    0.1512,1,    0.0139,2
     174.0,2,   -0.2747,2,   34.5169,2, 2165.8036,2,    0.0744,1,    0.1525,1,    0.0139,2
     176.0,2,   -0.2364,2,   34.5208,2, 1913.6256,2,    0.0746,1,    0.1562,1,    0.0136,2
     178.0,2,   -0.2153,2,   34.5235,2, 1773.1819,2,    0.0752,1,     0.168,1,    0.0133,2
     180.0,2,   -0.1902,2,   34.5268,2, 1602.4231,2,    0.0752,1,    0.1679,1,    0.0131,2
     182.0,2,   -0.1615,2,   34.5303,2, 1411.0703,2,    0.0742,1,     0.156,1,    0.0128,2
     184.0,2,   -0.1431,2,   34.5325,2, 1287.5121,2,    0.0733,1,    0.1513,1,    0.0126,2
     186.0,2,   -0.1245,2,    34.535,2, 1163.8489,2,    0.0731,1,    0.1501,1,    0.0129,2
     188.0,2,   -0.0901,2,   34.5394,2,  948.2486,2,    0.0726,1,    0.1501,1,    0.0135,2
     190.0,2,   -0.0528,2,   34.5441,2,    723.91,2,    0.0721,1,    0.1508,1,    0.0140,2
     192.0,2,   -0.0274,2,   34.5473,2,  575.3074,2,     0.072,1,     0.151,1,    0.0142,2
     194.0,2,   -0.0122,2,   34.5495,2,  486.5932,2,    0.0739,1,     0.153,1,    0.0139,2
     196.0,2,   -0.0033,2,    34.551,2,  434.6788,2,    0.0806,1,    0.1549,1,    0.0132,2
     198.0,2,    0.0048,2,   34.5524,2,  389.0572,2,    0.0807,1,    0.1555,1,    0.0128,2
     200.0,2,    0.0135,2,   34.5541,2,   341.166,2,    0.0758,1,    0.1566,1,    0.0129,2
     202.0,2,     0.023,2,   34.5559,2,  291.7005,2,    0.0789,1,     0.156,1,    0.0128,2
     204.0,2,    0.0394,2,   34.5584,2,  210.2156,2,    0.0775,1,    0.1529,1,    0.0125,2
     206.0,2,    0.0579,2,   34.5609,2,  121.0452,2,    0.0717,1,    0.1518,1,    0.0123,2
     208.0,2,    0.0693,2,   34.5625,2,   68.0926,2,      0.07,1,    0.1507,1,    0.0121,2
     210.0,2,    0.0801,2,   34.5642,2,   19.3643,2,    0.0699,1,     0.149,1,    0.0119,2
     212.0,2,    0.0952,2,   34.5663,2,  -46.0717,2,      0.07,1,    0.1484,1,    0.0117,2
     214.0,2,    0.1092,2,   34.5683,2, -104.4467,2,    0.0698,1,    0.1481,1,    0.0115,2
     216.0,2,     0.118,2,   34.5698,2, -139.4531,2,    0.0696,1,    0.1496,1,    0.0113,2
     218.0,2,    0.1359,2,   34.5723,2, -207.8594,2,     0.069,1,     0.151,1,    0.0112,2
     220.0,2,    0.1595,2,   34.5753,2, -292.0798,2,    0.0684,1,    0.1513,1,    0.0113,2
     222.0,2,    0.1839,2,   34.5787,2,  -371.203,2,    0.0684,1,    0.1504,1,    0.0114,2
     224.0,2,    0.2023,2,   34.5821,2, -424.6759,2,    0.0684,1,    0.1508,1,    0.0111,2
     226.0,2,    0.2173,2,   34.5848,2, -463.5441,2,    0.0676,1,    0.1514,1,    0.0104,2
     228.0,2,    0.2302,2,   34.5867,2, -493.3686,2,    0.0668,1,    0.1524,1,    0.0098,2
     230.0,2,    0.2483,2,   34.5889,2, -531.4706,2,    0.0666,1,    0.1504,1,    0.0095,2
     232.0,2,    0.2634,2,   34.5908,2, -558.8179,2,    0.0667,1,    0.1491,1,    0.0094,2
     234.0,2,     0.272,2,    34.592,2,  -571.196,2,     0.067,1,    0.1501,1,    0.0097,2
     236.0,2,    0.2792,2,   34.5932,2, -579.8114,2,    0.0673,1,    0.1509,1,    0.0102,2
     238.0,2,     0.295,2,   34.5951,2, -599.8849,2,    0.0664,1,    0.1502,1,    0.0102,2
