,Chinook,Coho,Sockeye
2013-06-12,,,2778.0
2013-06-13,,,2424.0
2013-06-14,,,1285.0
2013-06-15,,,2430.0
2013-06-16,,,3081.0
2013-06-17,,,3603.0
2013-06-18,,,3851.0
2013-06-19,,,4638.0
2013-06-20,,,2961.0
2013-06-21,,,3296.0
2013-06-22,,,10782.0
2013-06-23,,,12936.0
2013-06-24,,,4545.0
2013-06-25,,,6021.0
2013-06-26,,,5577.0
2013-06-27,,,4641.0
2013-06-28,,,5314.0
2013-06-29,,,9084.0
2013-06-30,,,9182.0
2013-07-01,,,5135.0
2013-07-02,,,5194.0
2013-07-03,,,5185.0
2013-07-04,,,3309.0
2013-07-05,,,3257.0
2013-07-06,,,2988.0
2013-07-07,,,6543.0
2013-07-08,,,3791.0
2013-07-09,,,4532.0
2013-07-10,,,4748.0
2013-07-11,,,4130.0
2013-07-12,,,5607.0
2013-07-13,,,4191.0
2013-07-14,,,3159.0
2013-07-15,,,2112.0
2013-07-16,,,1287.0
2013-07-17,,,1706.0
2013-07-18,,,697.0
2013-07-19,,,1461.0
2013-07-20,,,1311.0
2013-07-21,,,1088.0
2013-07-22,,,826.0
2013-07-23,,,960.0
2013-07-24,,,1269.0
2013-07-25,,,798.0
2013-07-26,,,988.0
2013-07-27,,,750.0
2013-07-28,,,621.0
2013-07-29,,,539.0
2013-07-30,,,495.0
2013-07-31,,,244.0
2013-08-01,,,305.0
2013-08-02,,,146.0
2013-08-03,,,173.0
2013-08-04,,,179.0
2013-08-05,,,111.0
2013-08-06,,,158.0
2014-06-12,,,185.0
2014-06-13,,,66.0
2014-06-14,,,44.0
2014-06-15,,,14.0
2014-06-16,,,40.0
2014-06-17,,,37.0
2014-06-18,,,56.0
2014-06-19,,,90.0
2014-06-20,,,52.0
2014-06-21,,,52.0
2014-06-22,,,43.0
2014-06-23,,,119.0
2014-06-24,,,52.0
2014-06-25,,,298.0
2014-06-26,,,617.0
2014-06-27,,,407.0
2014-06-28,,,882.0
2014-06-29,,,970.0
2014-06-30,,,997.0
2014-07-01,,,1998.0
2014-07-02,,,1906.0
2014-07-03,,,1438.0
2014-07-04,,,1965.0
2014-07-05,,,1290.0
2014-07-06,,,1316.0
2014-07-07,,,2190.0
2014-07-08,,,2285.0
2014-07-09,,,1994.0
2014-07-10,,,2773.0
2014-07-11,,,1831.0
2014-07-12,,,2420.0
2014-07-13,,,2441.0
2014-07-14,,,2779.0
2014-07-15,,,2496.0
2014-07-16,,,2192.0
2014-07-17,,,2216.0
2014-07-18,,,2900.0
2014-07-19,,,1951.0
2014-07-20,,,1232.0
2014-07-21,,,1758.0
2014-07-22,,,1458.0
2014-07-23,,,725.0
2014-07-24,,,1564.0
2014-07-25,,,1155.0
2014-07-26,,,1235.0
2014-07-27,,,1278.0
2014-07-28,,,607.0
2014-07-29,,,653.0
2014-07-30,,,676.0
2014-07-31,,,683.0
2014-08-01,,,309.0
2014-08-02,,,297.0
2014-08-03,,,194.0
2014-08-04,,,516.0
2014-08-05,,,396.0
2015-06-12,,,87.0
2015-06-13,,,0.0
2015-06-14,,,61.0
2015-06-15,,,46.0
2015-06-16,,,174.0
2015-06-17,,,185.0
2015-06-18,,,214.0
2015-06-19,,,96.0
2015-06-20,,,267.0
