recordNumber,individualCount,eventDate,decimalLatitude,decimalLongitude,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,vernacularName,taxonRemarks
1106_335,1,2013-09-01 10:34:52,47.710125,-122.839587,Elasmobranchii,Animalia,Chordata,Chondrichthyes,,,,,Subclass,cartilaginous fishes,"Taxon recorded as ""Shark"" by the provider"
1106_18,1,2013-08-30 10:39:25,48.142590,-122.625822,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Marine Mammal"" by the provider"
1106_84,1,2013-08-30 14:53:26,47.577825,-122.999232,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Small Marine Mammal"" by the provider"
1106_435,3,2013-09-01 16:36:17,47.611800,-122.467788,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Marine Mammal"" by the provider"
1106_706,2,2013-09-03 16:02:45,47.309638,-122.694075,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Small Marine Mammal"" by the provider"
1106_779,1,2013-09-04 09:18:32,47.615420,-122.486535,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Small Marine Mammal"" by the provider"
1106_771,1,2013-09-04 09:07:02,47.709803,-122.507017,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Small Marine Mammal"" by the provider"
1106_427,2,2013-09-01 15:29:52,47.376748,-122.362625,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Medium Marine Mammal"" by the provider"
1106_745,1,2013-09-03 18:00:27,47.743302,-122.405147,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Small Marine Mammal"" by the provider"
1106_234,1,2013-08-31 10:25:11,47.301843,-122.807522,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Marine Mammal"" by the provider"
1106_726,1,2013-09-03 17:10:59,47.543010,-122.444117,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Small Marine Mammal"" by the provider"
1106_760,1,2013-09-03 18:29:23,47.613098,-122.469612,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Small Marine Mammal"" by the provider"
1106_221,1,2013-08-31 10:08:15,47.278633,-122.587885,Mammalia,Animalia,Chordata,Mammalia,,,,,Class,mammals,"Taxon recorded as ""Unidentified Marine Mammal"" by the provider"
1106_767,2,2013-09-04 08:56:50,47.732910,-122.421702,Grampus griseus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Grampus,griseus,Species,Risso's Dolphin,"Taxon recorded as ""Risso's Dolphin"" by the provider"
1106_239,2,2013-08-31 11:19:34,47.543402,-122.444832,Grampus griseus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Grampus,griseus,Species,Risso's Dolphin,"Taxon recorded as ""Risso's Dolphin"" by the provider"
1106_753,2,2013-09-03 18:22:01,47.808142,-122.431282,Phocoena phocoena,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Species,Harbor Porpoise,"Taxon recorded as ""Harbor Porpoise"" by the provider"
1106_754,2,2013-09-03 18:22:05,47.807995,-122.428605,Phocoena phocoena,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Species,Harbor Porpoise,"Taxon recorded as ""Harbor Porpoise"" by the provider"
1106_755,1,2013-09-03 18:22:25,47.807345,-122.415090,Phocoena phocoena,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Species,Harbor Porpoise,"Taxon recorded as ""Harbor Porpoise"" by the provider"
