STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-01,0.22,52,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-02,0.19,46,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-03,0.00,46,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-04,0.13,40,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-05,0.12,39,30
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-06,0.00,35,26
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-07,0.19,30,24
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-08,0.37,29,26
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-09,0.15,34,26
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-10,0.00,38,28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-11,0.51,45,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-12,0.69,50,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-13,0.16,40,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-14,0.20,43,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-15,0.17,45,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-16,0.57,44,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-17,0.05,41,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-18,0.00,38,25
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-19,0.00,44,26
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-20,0.00,40,30
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-21,0.00,47,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-22,0.00,48,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-23,0.00,43,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-24,0.00,43,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-25,0.06,40,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-26,0.00,33,21
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-27,0.00,29,19
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-28,0.00,29,19
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-29,0.00,31,15
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-30,0.00,38,19
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-01-31,0.31,38,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-01,0.37,54,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-02,0.80,51,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-03,0.11,52,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-04,0.00,51,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-05,0.23,52,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-06,0.46,48,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-07,0.00,50,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-08,0.00,47,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-09,0.00,47,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-10,0.00,46,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-11,0.00,43,29
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-12,0.00,42,29
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-13,0.00,42,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-14,0.01,39,28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-15,0.20,37,27
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-16,0.00,46,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-17,0.36,47,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-18,0.31,50,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-19,0.16,51,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-20,0.18,47,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-21,0.00,46,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-22,0.00,53,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-23,0.00,56,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-24,0.06,59,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-25,0.37,57,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-26,0.72,57,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-27,0.38,57,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-28,0.32,53,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-02-29,0.00,55,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-01,0.00,61,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-02,0.00,59,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-03,0.26,47,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-04,0.05,51,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-05,0.00,46,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-06,0.00,48,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-07,0.01,49,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-08,0.01,51,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-09,0.01,46,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-10,0.05,50,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-11,0.11,46,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-12,0.17,45,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-13,0.33,47,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-14,0.17,43,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-15,0.00,45,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-16,0.07,47,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-17,0.36,51,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-18,0.00,47,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-03-19,0.20,50,43
